estimator,event_time,coef,se,ban_type
TWFE,-9,0.958919792953236,0.6228382570022205,cow
TWFE,-8,0.7365996619648347,0.6298629072831018,cow
TWFE,-7,-0.7380078141653481,1.3001143897431564,cow
TWFE,-6,-0.7178456209322972,1.3081223735468104,cow
TWFE,-5,-0.8623467258341782,1.2705680038784093,cow
TWFE,-4,-0.48678319747720344,1.2432342896027528,cow
TWFE,-3,0.6826442074043325,1.3110253365022964,cow
TWFE,-2,0.259021193564978,1.5607117578765537,cow
TWFE,-1,-0.276617040270281,1.2277910531797813,cow
TWFE,0,0.1600296270786823,1.4905732434588244,cow
TWFE,1,-0.18034238821879223,1.6206935353576863,cow
TWFE,2,-0.4209583083532751,1.5558348626455263,cow
TWFE,3,0.3155032214061697,1.4076878571129137,cow
TWFE,4,0.4815520214252842,1.5767197027930768,cow
TWFE,5,0.42912987286890536,1.6645636636425074,cow
TWFE,6,0.025408373889927893,1.5293870639499743,cow
TWFE,7,0.16011173286128488,1.5543072077331312,cow
TWFE,8,0.47451526889991014,1.643447663013805,cow
TWFE,9,0.26326708425271717,1.7127223039543507,cow
TWFE,10,0.591958570463907,1.3729681692294595,cow
TWFE,-10,0.0,0.0,cow
Gardner (2021),-9,6.947120517831129e-08,,cow
Gardner (2021),-8,5.8221883546865914e-08,3.5610794463507964e-08,cow
Gardner (2021),-7,5.8174764136227396e-08,2.7705818189180436e-08,cow
Gardner (2021),-6,8.168307893752936e-08,2.4384199435116695e-08,cow
Gardner (2021),-5,5.9407430587948864e-08,2.212608051509992e-08,cow
Gardner (2021),-4,4.401296505403396e-08,3.419031089025021e-08,cow
Gardner (2021),-3,5.769041429831622e-08,2.5164185768748798e-08,cow
Gardner (2021),-2,8.282717209999071e-08,2.6493336470324288e-08,cow
Gardner (2021),-1,7.385880312494334e-08,3.1818814325455955e-08,cow
Gardner (2021),0,0.36154389730034386,1.2804566086575353,cow
Gardner (2021),1,0.48417763673805536,1.4074494932245811,cow
Gardner (2021),2,0.40644242577497525,1.3005504102625576,cow
Gardner (2021),3,2.0638012860066524,1.3622117651309553,cow
Gardner (2021),4,5.104575425854023,1.7705148046403678,cow
Gardner (2021),5,4.582000832381892,1.4616105506365378,cow
Gardner (2021),6,4.1672720750787455,1.550349104887871,cow
Gardner (2021),7,5.128231011744206,1.8769415304492845,cow
Gardner (2021),8,4.882408990785862,1.896505498005642,cow
Gardner (2021),9,4.8223318298956155,1.8812188410057582,cow
Gardner (2021),10,6.4590811398672585,1.2042625159636766,cow
Gardner (2021),-10,0.0,0.0,cow
Cengiz et al. (2019),-9,0.10558037940925069,0.5101564429108376,cow
Cengiz et al. (2019),-8,0.06905988907986566,0.4378457910694284,cow
Cengiz et al. (2019),-7,-0.2576119859759445,0.47846347658984184,cow
Cengiz et al. (2019),-6,0.5956158596219239,0.46664437972440703,cow
Cengiz et al. (2019),-5,0.874223824101429,0.293424341389369,cow
Cengiz et al. (2019),-4,0.25544032671278516,0.34907678979347073,cow
Cengiz et al. (2019),-3,1.012084873945387,0.33721383511748915,cow
Cengiz et al. (2019),-2,0.810135415487104,0.3926673281077165,cow
Cengiz et al. (2019),-1,0.9450136209881388,0.30934867336952065,cow
Cengiz et al. (2019),0,1.7161130956822057,0.3358568871518338,cow
Cengiz et al. (2019),1,1.5653837972051625,0.5568427786112429,cow
Cengiz et al. (2019),2,1.3102526407720063,0.4382042230641336,cow
Cengiz et al. (2019),3,1.6164880950565104,0.45470912766520827,cow
Cengiz et al. (2019),4,1.301613639567615,0.5135625029362622,cow
Cengiz et al. (2019),5,1.7547681321766713,0.4743147071723648,cow
Cengiz et al. (2019),6,1.294343398432936,0.5446474361924696,cow
Cengiz et al. (2019),7,2.0740335806661125,0.4869005740005167,cow
Cengiz et al. (2019),8,1.9234442245709238,0.565622881579499,cow
Cengiz et al. (2019),9,1.5957599697158407,0.5721682254570575,cow
Cengiz et al. (2019),10,1.540840589821277,0.6042137474761095,cow
Cengiz et al. (2019),-10,0.0,0.0,cow
Liu et al. (2022),-9,-2.217022653874868,25.99965433578337,cow
Liu et al. (2022),-8,-0.0742654521536618,29.887642463710456,cow
Liu et al. (2022),-7,-4.031259145239222,18.573737904114935,cow
Liu et al. (2022),-6,-7.0417371146555165,11.028980032265277,cow
Liu et al. (2022),-5,-6.869834085196411,10.534740360545397,cow
Liu et al. (2022),-4,-6.792890510773186,10.474023053554474,cow
Liu et al. (2022),-3,-9.628866397228016,10.806643905980858,cow
Liu et al. (2022),-2,-13.946109854867352,11.018361051226863,cow
Liu et al. (2022),-1,-10.675752785290925,10.494964125296734,cow
Liu et al. (2022),0,-9.36536027421695,10.536134165090525,cow
Liu et al. (2022),1,-8.152319474274462,8.752817644857767,cow
Liu et al. (2022),2,-7.313698491726902,9.538488123323377,cow
Liu et al. (2022),3,-3.350395872164962,7.705404063105722,cow
Liu et al. (2022),4,-11.275822663145203,5.834639481952643,cow
Liu et al. (2022),5,-5.936986986551428,5.576360426480468,cow
Liu et al. (2022),6,-5.09263959879371,7.1389240808841725,cow
Liu et al. (2022),7,-1.1472599176257088,8.234979333333582,cow
Liu et al. (2022),8,-0.032772903215223526,11.027436645411735,cow
Liu et al. (2022),9,0.36159770929247026,9.20894945683147,cow
Liu et al. (2022),10,-5.6372309113398655,3.535588071894406,cow
Liu et al. (2022),-10,0.0,0.0,cow
TWFE,-9,1.2605709092107418,0.5673410159468225,bull
TWFE,-8,1.0519795039276694,0.6161270998327716,bull
TWFE,-7,0.06813711582313015,0.7391908662108894,bull
TWFE,-6,0.08783802821400011,0.7783690116455757,bull
TWFE,-5,-0.5001344564760162,0.6919649017393559,bull
TWFE,-4,-0.4567617216390611,0.7059090567384259,bull
TWFE,-3,0.19959433043701175,0.699498897153767,bull
TWFE,-2,0.032617474124354756,0.6693159361434025,bull
TWFE,-1,-0.2670092828664188,0.5522840132452951,bull
TWFE,0,-0.14740870173973752,0.701739254964602,bull
TWFE,1,-0.2824696795203453,0.9565486734672144,bull
TWFE,2,-0.3665692566608454,0.9282984263515123,bull
TWFE,3,-0.21469528523576864,0.7903071563901227,bull
TWFE,4,-0.09158336371038811,0.8981146555095281,bull
TWFE,5,0.0662900540170811,0.9574747689242207,bull
TWFE,6,-0.24266470364330672,0.7751613575566484,bull
TWFE,7,-0.07879914332367832,0.8060805260212401,bull
TWFE,8,0.3904215177155287,1.0089917870764582,bull
TWFE,9,0.4049425741131416,0.9744758874142269,bull
TWFE,10,0.5310043970398155,0.8134248144138992,bull
TWFE,-10,0.0,0.0,bull
Gardner (2021),-9,0.039942033132187096,0.032578433718657464,bull
Gardner (2021),-8,0.008778496185441421,0.04703441644096427,bull
Gardner (2021),-7,-0.07040689283649883,0.0451653156183052,bull
Gardner (2021),-6,-0.08976876275196971,0.08609371555536592,bull
Gardner (2021),-5,0.004533189514842186,0.004913340479575088,bull
Gardner (2021),-4,-0.0011508443278580296,0.0007764508477459757,bull
Gardner (2021),-3,-0.006904248585170582,0.006166720185622498,bull
Gardner (2021),-2,0.026918624309182314,0.026489646821719722,bull
Gardner (2021),-1,0.031129971842302876,0.03055206137468221,bull
Gardner (2021),0,0.37611684425645414,0.5196726255726708,bull
Gardner (2021),1,-0.3797447372507545,0.8768123063002655,bull
Gardner (2021),2,-0.5300274004302172,1.39809901813066,bull
Gardner (2021),3,-0.594737703700088,1.1887694830596123,bull
Gardner (2021),4,-0.36654052582785546,1.1487025477257138,bull
Gardner (2021),5,-0.5644272982004679,0.8095001092806152,bull
Gardner (2021),6,-0.8053427957535302,1.2882162533541575,bull
Gardner (2021),7,-1.5690616094329717,1.4480896257454625,bull
Gardner (2021),8,-1.008476138620799,1.2387697509850786,bull
Gardner (2021),9,-0.9051337708154028,1.4563505508150132,bull
Gardner (2021),10,-2.49334472592074,1.69909410331022,bull
Gardner (2021),-10,0.0,0.0,bull
Cengiz et al. (2019),-9,0.2949659986322893,0.4373818054260538,bull
Cengiz et al. (2019),-8,-0.035316668025003495,0.284050901971335,bull
Cengiz et al. (2019),-7,-0.04863574358563594,0.3290334114604285,bull
Cengiz et al. (2019),-6,0.35457421501214137,0.30569940776454796,bull
Cengiz et al. (2019),-5,0.5254049171494475,0.21921389483400394,bull
Cengiz et al. (2019),-4,0.22317900554954467,0.2370481032445049,bull
Cengiz et al. (2019),-3,0.8491972118718683,0.21651054965717537,bull
Cengiz et al. (2019),-2,0.6617246490039017,0.26455771059484817,bull
Cengiz et al. (2019),-1,0.6735119720061921,0.2048204542925509,bull
Cengiz et al. (2019),0,1.0199613326456642,0.24893150262832658,bull
Cengiz et al. (2019),1,0.9568185237023692,0.3518633275033328,bull
Cengiz et al. (2019),2,0.7970055656175137,0.3179111608626188,bull
Cengiz et al. (2019),3,0.9374168956673078,0.313110375855296,bull
Cengiz et al. (2019),4,0.9759860070193256,0.3548163797845958,bull
Cengiz et al. (2019),5,1.132873227049755,0.322611217745983,bull
Cengiz et al. (2019),6,1.1624432526952764,0.3307772685582783,bull
Cengiz et al. (2019),7,0.9883505136592606,0.3299806424880793,bull
Cengiz et al. (2019),8,1.0609746643651747,0.38473964096281965,bull
Cengiz et al. (2019),9,1.146194863489088,0.4845345195011154,bull
Cengiz et al. (2019),10,1.0718599144761232,0.4266714067910213,bull
Cengiz et al. (2019),-10,0.0,0.0,bull
Liu et al. (2022),-9,0.6456392124833416,2.8972768523157924,bull
Liu et al. (2022),-8,-0.3814240075415345,4.962740658366809,bull
Liu et al. (2022),-7,-1.404481568271455,7.188011748053297,bull
Liu et al. (2022),-6,0.2213166700723323,5.174809380353398,bull
Liu et al. (2022),-5,1.1548030845642376,5.532773463619418,bull
Liu et al. (2022),-4,-1.8177330296696814,5.79034750559904,bull
Liu et al. (2022),-3,-1.5555888076517792,4.314158257321702,bull
Liu et al. (2022),-2,-2.191436114070406,4.919706742546702,bull
Liu et al. (2022),-1,-1.4815918802328647,5.789544231685322,bull
Liu et al. (2022),0,-2.221442245309366,5.477857051282849,bull
Liu et al. (2022),1,-1.4197796693216218,4.794937122409952,bull
Liu et al. (2022),2,-0.18177622962917922,3.239021812367666,bull
Liu et al. (2022),3,-0.8528246722808557,2.289815746925994,bull
Liu et al. (2022),4,-1.5333636345164048,2.917470948992158,bull
Liu et al. (2022),5,-0.9130004558442264,2.668869021613229,bull
Liu et al. (2022),6,-1.0520055624316134,3.027720810889233,bull
Liu et al. (2022),7,-0.6444913414248294,2.889608836881087,bull
Liu et al. (2022),8,0.09000844511201947,3.459540594133595,bull
Liu et al. (2022),9,-0.31079090179198315,2.9621836463736457,bull
Liu et al. (2022),10,-1.7525367156649148,2.8337586593100705,bull
Liu et al. (2022),-10,0.0,0.0,bull
TWFE,-9,1.2605709092107418,0.5673410159468225,bullock
TWFE,-8,1.0519795039276694,0.6161270998327716,bullock
TWFE,-7,0.06813711582313015,0.7391908662108894,bullock
TWFE,-6,0.08783802821400011,0.7783690116455757,bullock
TWFE,-5,-0.5001344564760162,0.6919649017393559,bullock
TWFE,-4,-0.4567617216390611,0.7059090567384259,bullock
TWFE,-3,0.19959433043701175,0.699498897153767,bullock
TWFE,-2,0.032617474124354756,0.6693159361434025,bullock
TWFE,-1,-0.2670092828664188,0.5522840132452951,bullock
TWFE,0,-0.14740870173973752,0.701739254964602,bullock
TWFE,1,-0.2824696795203453,0.9565486734672144,bullock
TWFE,2,-0.3665692566608454,0.9282984263515123,bullock
TWFE,3,-0.21469528523576864,0.7903071563901227,bullock
TWFE,4,-0.09158336371038811,0.8981146555095281,bullock
TWFE,5,0.0662900540170811,0.9574747689242207,bullock
TWFE,6,-0.24266470364330672,0.7751613575566484,bullock
TWFE,7,-0.07879914332367832,0.8060805260212401,bullock
TWFE,8,0.3904215177155287,1.0089917870764582,bullock
TWFE,9,0.4049425741131416,0.9744758874142269,bullock
TWFE,10,0.5310043970398155,0.8134248144138992,bullock
TWFE,-10,0.0,0.0,bullock
Gardner (2021),-9,0.039942033132187096,0.032578433718657464,bullock
Gardner (2021),-8,0.008778496185441421,0.04703441644096427,bullock
Gardner (2021),-7,-0.07040689283649883,0.0451653156183052,bullock
Gardner (2021),-6,-0.08976876275196971,0.08609371555536592,bullock
Gardner (2021),-5,0.004533189514842186,0.004913340479575088,bullock
Gardner (2021),-4,-0.0011508443278580296,0.0007764508477459757,bullock
Gardner (2021),-3,-0.006904248585170582,0.006166720185622498,bullock
Gardner (2021),-2,0.026918624309182314,0.026489646821719722,bullock
Gardner (2021),-1,0.031129971842302876,0.03055206137468221,bullock
Gardner (2021),0,0.37611684425645414,0.5196726255726708,bullock
Gardner (2021),1,-0.3797447372507545,0.8768123063002655,bullock
Gardner (2021),2,-0.5300274004302172,1.39809901813066,bullock
Gardner (2021),3,-0.594737703700088,1.1887694830596123,bullock
Gardner (2021),4,-0.36654052582785546,1.1487025477257138,bullock
Gardner (2021),5,-0.5644272982004679,0.8095001092806152,bullock
Gardner (2021),6,-0.8053427957535302,1.2882162533541575,bullock
Gardner (2021),7,-1.5690616094329717,1.4480896257454625,bullock
Gardner (2021),8,-1.008476138620799,1.2387697509850786,bullock
Gardner (2021),9,-0.9051337708154028,1.4563505508150132,bullock
Gardner (2021),10,-2.49334472592074,1.69909410331022,bullock
Gardner (2021),-10,0.0,0.0,bullock
Cengiz et al. (2019),-9,0.2949659986322893,0.4373818054260538,bullock
Cengiz et al. (2019),-8,-0.035316668025003495,0.284050901971335,bullock
